Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Australia,Afghanistan,2021,Exports & Imports,14,73,0.34,1.69,-1076.78,355.35,1432.13,0,0,0,0,115,0,100,0,0,0,0,0,0,1432.13,3.47,3.18,115,72.17,27.83,0,0,5,0,0,926.04,506.1,2
Australia,Angola,2021,Exports & Imports,64,9,1.54,0.21,2364.43,2393.43,29,0,0,0,0,16,0,100,0,0,0,0,0,0,29,4.03,3.04,16,68.75,31.25,0,0,5,0,0,29,0,2
Australia,Anguila,2021,Exports & Imports,1,7,0.02,0.16,-15.54,10.89,26.43,0,0,3.33,2.77,10,70,30,0,0,5,0,0,15.28,11.16,3.33,2.77,10,70,30,0,0,5,0,0,15.28,11.16,1
Australia,Albania,2021,Exports & Imports,25,114,0.6,2.63,-2612.45,1346.62,3959.07,0,0,4.26,3.19,150,84.67,15.33,0,0,5,0,0,2675.12,1278.43,4.26,3.19,150,84.67,15.33,0,0,5,0,0,2675.12,1278.43,1
Australia,United Arab Emirates,2021,Exports & Imports,1419,814,34.09,18.81,738290.33,1705818.86,967528.54,0.37,0.5,3.44,2.48,1135,67.4,32.51,0.09,0,5,0,7.02,567665.89,390160.83,3.44,2.48,1135,67.4,32.51,0.09,0,5,0,7.02,567665.89,390160.83,1
Australia,Argentina,2021,Exports & Imports,240,316,5.77,7.3,-503971.84,157616.41,661588.25,0.25,0.05,2.85,2.33,494,59.11,40.69,0.2,0,5,0,1970.88,314416.01,346767.71,2.85,2.33,494,59.11,40.69,0.2,0,5,0,1970.88,314416.01,346767.71,1
Australia,Armenia,2021,Exports & Imports,31,57,0.74,1.32,-237.1,1176.81,1413.9,0,0,4.22,4.84,86,72.09,27.91,0,0,5,0,0,1375.37,38.53,4.22,4.84,86,72.09,27.91,0,0,5,0,0,1375.37,38.53,
Australia,American Samoa,2021,Exports & Imports,96,51,2.31,1.18,872.29,8011.35,7139.05,0,0,0,0,81,0,100,0,0,0,0,0,0,7139.05,3.34,0.86,81,56.79,43.21,0,0,5,0,0,1291.93,5847.12,1
Australia,Antarctica,2021,Exports & Imports,29,2,0.7,0.05,6473.61,6476.47,2.86,0,0,2.5,2.5,4,50,50,0,0,5,0,0,2.86,0,2.5,2.5,4,50,50,0,0,5,0,0,2.86,0,
Australia,Antigua and Barbuda,2021,Exports & Imports,17,7,0.41,0.16,384.7,473.51,88.81,0,0,3.93,3.06,11,81.82,18.18,0,0,5,0,0,55.2,33.61,3.93,3.06,11,81.82,18.18,0,0,5,0,0,55.2,33.61,1
Australia,Austria,2021,Exports & Imports,378,1354,9.08,31.28,-1422520.49,39506.33,1462026.82,0.56,0.01,3.26,2.95,1906,64.53,35.26,0,0.21,26.57,0,0,860310.78,496923.58,3.26,2.95,1906,64.53,35.26,0,0.21,26.57,0,0,860310.78,496923.58,
Australia,Azerbaijan,2021,Exports & Imports,84,12,2.02,0.28,-41192.19,1334.1,42526.29,0.02,0,2.08,0.04,15,40,60,0,0,5,0,0,419.35,42106.94,2.08,0.04,15,40,60,0,0,5,0,0,419.35,42106.94,
Australia,Burundi,2021,Exports & Imports,11,11,0.26,0.25,6600.94,7129.55,528.62,0,0,0,0,12,0,100,0,0,0,0,0,0,528.62,3.86,0.25,12,75,25,0,0,5,0,0,27.68,500.94,2
Australia,Belgium,2021,Exports & Imports,894,1712,21.47,39.56,-1537965.39,963329.51,2501294.91,0.96,0.28,3.17,1.42,2342,63.75,36.12,0.04,0.09,20,0,74.17,766124.05,1604040.67,3.17,1.42,2342,63.75,36.12,0.04,0.09,20,0,74.17,766124.05,1604040.67,
Australia,Burkina Faso,2021,Exports & Imports,370,9,8.89,0.21,12319.68,12494.61,174.93,0,0,0,0,10,0,100,0,0,0,0,0,0,174.93,0.28,0.44,10,10,90,0,0,5,0,0,30.8,144.13,2
Australia,Bangladesh,2021,Exports & Imports,291,415,6.99,9.59,122436.92,1057106.04,934669.12,0.36,0.31,0,0,565,0,100,0,0,0,0,0,0,933732.52,3.67,4.84,565,73.98,26.02,0,0,5,0,0,921461.98,12270.53,2
Australia,Bulgaria,2021,Exports & Imports,132,635,3.17,14.67,-15081.87,60858.53,75940.4,0.03,0.02,3.38,3.24,904,65.15,34.73,0,0.11,18,0,0,48130.17,27632.34,3.38,3.24,904,65.15,34.73,0,0.11,18,0,0,48130.17,27632.34,1
Australia,Bahrain,2021,Exports & Imports,315,42,7.57,0.97,119690.12,214743.74,95053.62,0.04,0.06,3.24,2.15,60,66.67,33.33,0,0,5,0,0,41183.55,53870.07,3.24,2.15,60,66.67,33.33,0,0,5,0,0,41183.55,53870.07,1
Australia,"Bahamas, The",2021,Exports & Imports,26,5,0.62,0.12,4363.16,4404.73,41.57,0,0,3.5,4.27,6,66.67,33.33,0,0,5,0,0,39.81,1.76,3.5,4.27,6,66.67,33.33,0,0,5,0,0,39.81,1.76,1
