Month,year,States,value
Apr-14,2014.0,New South Wales (Kg (Millions),26.2
May-14,2014.0,New South Wales (Kg (Millions),26.67
Jun-14,2014.0,New South Wales (Kg (Millions),28.98
Jul-14,2014.0,New South Wales (Kg (Millions),32.53
Aug-14,2014.0,New South Wales (Kg (Millions),31.37
Sep-14,2014.0,New South Wales (Kg (Millions),30.59
Oct-14,2014.0,New South Wales (Kg (Millions),31.48
Nov-14,2014.0,New South Wales (Kg (Millions),31.45
Dec-14,2014.0,New South Wales (Kg (Millions),33.44
Jan-15,2015.0,New South Wales (Kg (Millions),23.33
Feb-15,2015.0,New South Wales (Kg (Millions),29.03
Mar-15,2015.0,New South Wales (Kg (Millions),36.4
Apr-15,2015.0,New South Wales (Kg (Millions),27.62
May-15,2015.0,New South Wales (Kg (Millions),32.65
Jun-15,2015.0,New South Wales (Kg (Millions),31.43
Jul-15,2015.0,New South Wales (Kg (Millions),28.7
Aug-15,2015.0,New South Wales (Kg (Millions),28.73
Sep-15,2015.0,New South Wales (Kg (Millions),24.44
Oct-15,2015.0,New South Wales (Kg (Millions),28.02
Nov-15,2015.0,New South Wales (Kg (Millions),26.82
Dec-15,2015.0,New South Wales (Kg (Millions),28.98
Jan-16,2016.0,New South Wales (Kg (Millions),19.34
Feb-16,2016.0,New South Wales (Kg (Millions),27.25
Mar-16,2016.0,New South Wales (Kg (Millions),28.96
Apr-16,2016.0,New South Wales (Kg (Millions),25.95
May-16,2016.0,New South Wales (Kg (Millions),26.91
Jun-16,2016.0,New South Wales (Kg (Millions),25.51
Jul-16,2016.0,New South Wales (Kg (Millions),24.29
Aug-16,2016.0,New South Wales (Kg (Millions),21.25
Sep-16,2016.0,New South Wales (Kg (Millions),20.35
Oct-16,2016.0,New South Wales (Kg (Millions),20.59
Nov-16,2016.0,New South Wales (Kg (Millions),25.28
Dec-16,2016.0,New South Wales (Kg (Millions),27.38
Jan-17,2017.0,New South Wales (Kg (Millions),19.95
Feb-17,2017.0,New South Wales (Kg (Millions),23.5
Mar-17,2017.0,New South Wales (Kg (Millions),24.87
Apr-17,2017.0,New South Wales (Kg (Millions),22.28
May-17,2017.0,New South Wales (Kg (Millions),25.04
Jun-17,2017.0,New South Wales (Kg (Millions),24.99
Jul-17,2017.0,New South Wales (Kg (Millions),27.54
Aug-17,2017.0,New South Wales (Kg (Millions),23.74
Sep-17,2017.0,New South Wales (Kg (Millions),26.96
Oct-17,2017.0,New South Wales (Kg (Millions),27.69
Nov-17,2017.0,New South Wales (Kg (Millions),27.19
Dec-17,2017.0,New South Wales (Kg (Millions),27.64
Jan-18,2018.0,New South Wales (Kg (Millions),20.12
Feb-18,2018.0,New South Wales (Kg (Millions),27.27
Mar-18,2018.0,New South Wales (Kg (Millions),30.93
Apr-18,2018.0,New South Wales (Kg (Millions),27.8
May-18,2018.0,New South Wales (Kg (Millions),31.08
Jun-18,2018.0,New South Wales (Kg (Millions),29.27
Jul-18,2018.0,New South Wales (Kg (Millions),30.82
Aug-18,2018.0,New South Wales (Kg (Millions),29.25
Sep-18,2018.0,New South Wales (Kg (Millions),28.13
Oct-18,2018.0,New South Wales (Kg (Millions),27.97
Nov-18,2018.0,New South Wales (Kg (Millions),27.6
Dec-18,2018.0,New South Wales (Kg (Millions),32.8
Jan-19,2019.0,New South Wales (Kg (Millions),21.19
Feb-19,2019.0,New South Wales (Kg (Millions),30.74
Mar-19,2019.0,New South Wales (Kg (Millions),34.34
Apr-19,2019.0,New South Wales (Kg (Millions),35.37
May-19,2019.0,New South Wales (Kg (Millions),30.7
Jun-19,2019.0,New South Wales (Kg (Millions),31.55
Jul-19,2019.0,New South Wales (Kg (Millions),31.12
Aug-19,2019.0,New South Wales (Kg (Millions),33.17
Sep-19,2019.0,New South Wales (Kg (Millions),33.89
Oct-19,2019.0,New South Wales (Kg (Millions),34.28
Nov-19,2019.0,New South Wales (Kg (Millions),37.22
Dec-19,2019.0,New South Wales (Kg (Millions),33.65
Jan-20,2020.0,New South Wales (Kg (Millions),28.13
Feb-20,2020.0,New South Wales (Kg (Millions),32.59
Mar-20,2020.0,New South Wales (Kg (Millions),31.34
Apr-20,2020.0,New South Wales (Kg (Millions),26.33
May-20,2020.0,New South Wales (Kg (Millions),27.32
Jun-20,2020.0,New South Wales (Kg (Millions),30.07
Jul-20,2020.0,New South Wales (Kg (Millions),23.17
Aug-20,2020.0,New South Wales (Kg (Millions),29.05
Sep-20,2020.0,New South Wales (Kg (Millions),25.0
Oct-20,2020.0,New South Wales (Kg (Millions),30.66
Nov-20,2020.0,New South Wales (Kg (Millions),31.08
Dec-20,2020.0,New South Wales (Kg (Millions),30.91
