Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Australia,"Korea, Rep.",2022,Import,Fuels,11277587.57,59.19,0,0,12,0,100,0,0,0,0,0,11185589.83,91997.75,0.25,0,12,8.33,91.67,0,0,5,0,0,11185603.88,91983.7
Australia,Singapore,2022,Import,Fuels,10710252.34,77.32,0,0,10,0,100,0,0,0,0,0,10533382.29,176870.05,0,0,10,0,100,0,0,0,0,0,10533382.29,176870.05
Australia,Malaysia,2022,Import,Fuels,6294147.31,50.65,0.5,0,15,13.33,86.67,0,0,4,0,0,3748252.76,2545894.56,0.63,0,15,13.33,86.67,0,0,5,0,0,3748252.76,2545894.56
Australia,Japan,2022,Import,Fuels,3011009.54,16.92,0,0,5,0,100,0,0,0,0,0,2994859.17,16150.36,0,0,5,0,100,0,0,0,0,0,2994859.17,16150.36
Australia,Brunei,2022,Import,Fuels,2861307.64,98.73,0,0,2,0,100,0,0,0,0,0,1737903.23,1123404.4,0,0,2,0,100,0,0,0,0,0,1737903.23,1123404.4
Australia,South Asia,2022,Import,Fuels,2275008.49,25.18,0,0,11,0,100,0,0,0,0,0,2162606.31,112402.18,0,0,10,0,100,0,0,0,0,0,2162606.31,112402.18
Australia,India,2022,Import,Fuels,2215050.8,30.5,0,0,8,0,100,0,0,0,0,0,2162601.76,52449.04,0,0,8,0,100,0,0,0,0,0,2162601.76,52449.04
Australia,China,2022,Import,Fuels,2015316.18,2.41,0,0,20,0,100,0,0,0,0,0,1580412.49,434903.69,0.28,0,20,5,95,0,0,5,0,0,1580481.14,434835.04
Australia,United States,2022,Import,Fuels,1588652.71,5.11,0,0,28,0,100,0,0,0,0,0,62757.86,1525894.85,0.31,0.01,28,7.14,92.86,0,0,5,0,0,64495.9,1524156.81
Australia,Libya,2022,Import,Fuels,528555.31,100,0,0,2,0,100,0,0,0,0,0,0,528555.31,0,0,2,0,100,0,0,0,0,0,0,528555.31
Australia,Vietnam,2022,Import,Fuels,514696.46,7.62,0,0,5,0,100,0,0,0,0,0,475.68,514220.78,1.25,0.02,5,20,80,0,0,5,0,0,2324.47,512371.98
Australia,United Arab Emirates,2022,Import,Fuels,316527.92,26.79,0.83,0,8,12.5,87.5,0,0,5,0,0,63430.02,253097.9,0.83,0,8,12.5,87.5,0,0,5,0,0,63430.02,253097.9
Australia,Sub-Saharan Africa,2022,Import,Fuels,309339.65,12.08,0,0,9,0,100,0,0,0,0,0,399.25,308940.4,0,0,7,0,100,0,0,0,0,0,399.25,308940.4
Australia,Indonesia,2022,Import,Fuels,300761.04,7.19,0,0,12,0,100,0,0,0,0,0,126111.68,174649.36,0.25,0,12,8.33,91.67,0,0,5,0,0,126142.93,174618.11
Australia,New Zealand,2022,Import,Fuels,289330.17,5.6,0,0,9,0,100,0,0,0,0,0,8551.54,280778.64,0.63,0.02,9,11.11,88.89,0,0,5,0,0,9442.72,279887.46
Australia,Nigeria,2022,Import,Fuels,269524.97,99.57,0,0,2,0,100,0,0,0,0,0,0,269524.97,0,0,2,0,100,0,0,0,0,0,0,269524.97
Australia,Russian Federation,2022,Import,Fuels,254429.6,44.5,1.67,0,4,25,75,0,0,5,0,0,109.18,254320.42,1.67,0,4,25,75,0,0,5,0,0,109.18,254320.42
Australia,Algeria,2022,Import,Fuels,252152,98.86,0,0,2,0,100,0,0,0,0,0,0,252152,0,0,2,0,100,0,0,0,0,0,0,252152
Australia,Azerbaijan,2022,Import,Fuels,251889.55,99.93,0,0,2,0,100,0,0,0,0,0,0,251889.55,0,0,2,0,100,0,0,0,0,0,0,251889.55
Australia,Kuwait,2022,Import,Fuels,165134.31,99.16,,,,,,,,,,0,165134.31,0,,,,,,,,,,0,165134.31,0
Australia,Thailand,2022,Import,Fuels,123836.77,0.98,0,0,7,0,100,0,0,0,0,0,32025.17,91811.6,1.25,0.03,7,28.57,71.43,0,0,5,0,0,32675.56,91161.21
Australia,Oman,2022,Import,Fuels,116379.69,53.3,0,0,1,0,100,0,0,0,0,0,85702.19,30677.49,0,0,1,0,100,0,0,0,0,0,85702.19,30677.49
Australia,Pakistan,2022,Import,Fuels,56039.47,13.76,0,0,2,0,100,0,0,0,0,0,0,56039.47,0,0,2,0,100,0,0,0,0,0,0,56039.47
Australia,Angola,2022,Import,Fuels,37072.62,99.6,0,0,2,0,100,0,0,0,0,0,0,37072.62,0,0,2,0,100,0,0,0,0,0,0,37072.62
Australia,United Kingdom,2022,Import,Fuels,33493.6,0.61,0.75,0.27,12,16.67,83.33,0,0,5,0,0,7867.49,25626.11,0.75,0.27,12,16.67,83.33,0,0,5,0,0,7867.49,25626.11
Australia,Germany,2022,Import,Fuels,32388.29,0.27,0.47,0.18,19,10.53,89.47,0,0,5,0,0,27861.25,4527.04,0.47,0.18,19,10.53,89.47,0,0,5,0,0,27861.25,4527.04
Australia,Belgium,2022,Import,Fuels,22235.04,1.05,1,0.51,5,20,80,0,0,5,0,0,22122.37,112.67,1,0.51,5,20,80,0,0,5,0,0,22122.37,112.67
Australia,"Hong Kong, China",2022,Import,Fuels,21244.38,2.28,0,0,3,0,100,0,0,0,0,0,21155.1,89.28,0,0,3,0,100,0,0,0,0,0,21155.1,89.28
Australia,Netherlands,2022,Import,Fuels,17112.88,0.79,0.63,0.01,9,11.11,88.89,0,0,5,0,0,7475.52,9637.36,0.63,0.01,9,11.11,88.89,0,0,5,0,0,7475.52,9637.36
Australia,Latin America & Caribbean,2022,Import,Fuels,12757.92,0.21,0,0,6,0,100,0,0,0,0,0,608.61,12149.3,0,0,6,0,100,0,0,0,0,0,608.61,12149.3
Australia,Colombia,2022,Import,Fuels,12009.1,9.1,0,0,1,0,100,0,0,0,0,0,0,12009.1,0,0,1,0,100,0,0,0,0,0,0,12009.1
Australia,Estonia,2022,Import,Fuels,7803.04,4.41,0,0,1,0,100,0,0,0,0,0,7297.28,505.76,0,0,1,0,100,0,0,0,0,0,7297.28,505.76
Australia,Italy,2022,Import,Fuels,7405.82,0.11,0.68,1.14,14,14.29,85.71,0,0,5,0,0,6968.06,437.76,0.68,1.14,14,14.29,85.71,0,0,5,0,0,6968.06,437.76
Australia,Canada,2022,Import,Fuels,7360.14,0.28,0,0,6,0,100,0,0,0,0,0,5361.08,1999.06,0.83,0.27,6,16.67,83.33,0,0,5,0,0,5470.71,1889.43
Australia,France,2022,Import,Fuels,7279.46,0.15,0,0,7,0,100,0,0,0,0,0,6382.57,896.89,0,0,7,0,100,0,0,0,0,0,6382.57,896.89
Australia,Spain,2022,Import,Fuels,6292.77,0.3,0,0,2,0,100,0,0,0,0,0,6171.35,121.43,0,0,2,0,100,0,0,0,0,0,6171.35,121.43
Australia,Papua New Guinea,2022,Import,Fuels,5943.46,0.34,0,0,3,0,100,0,0,0,0,0,89.75,5853.71,0,0,3,0,100,0,0,0,0,0,89.75,5853.71
Australia,Switzerland,2022,Import,Fuels,4773.38,0.17,1,0.47,5,20,80,0,0,5,0,0,2452.76,2320.63,1,0.47,5,20,80,0,0,5,0,0,2452.76,2320.63
Australia,Latvia,2022,Import,Fuels,4424.8,7.88,0,0,2,0,100,0,0,0,0,0,0,4424.8,0,0,2,0,100,0,0,0,0,0,0,4424.8
Australia,Sri Lanka,2022,Import,Fuels,3913.67,1.36,0,0,1,0,100,0,0,0,0,0,0,3913.67,0,0,1,0,100,0,0,0,0,0,0,3913.67
Australia,Lithuania,2022,Import,Fuels,3867.98,1.93,0,0,2,0,100,0,0,0,0,0,28.18,3839.8,0,0,2,0,100,0,0,0,0,0,28.18,3839.8
Australia,Sweden,2022,Import,Fuels,3146.32,0.17,0,0,2,0,100,0,0,0,0,0,3034.84,111.48,0,0,2,0,100,0,0,0,0,0,3034.84,111.48
Australia,South Africa,2022,Import,Fuels,2622.51,0.25,0,0,4,0,100,0,0,0,0,0,281.53,2340.98,0,0,4,0,100,0,0,0,0,0,281.53,2340.98
Australia,Poland,2022,Import,Fuels,2452.94,0.18,2.5,2.83,2,50,50,0,0,5,0,0,2232.14,220.8,2.5,2.83,2,50,50,0,0,5,0,0,2232.14,220.8
Australia,Bahrain,2022,Import,Fuels,961.82,0.52,0,0,1,0,100,0,0,0,0,0,828.55,133.27,0,0,1,0,100,0,0,0,0,0,828.55,133.27
Australia,Israel,2022,Import,Fuels,889.18,0.14,5,5,1,100,0,0,0,5,5,0,889.18,0,5,5,1,100,0,0,0,5,5,0,889.18,0
Australia,Ireland,2022,Import,Fuels,816.38,0.04,0,0,1,0,100,0,0,0,0,0,2.07,814.31,0,0,1,0,100,0,0,0,0,0,2.07,814.31
Australia,Finland,2022,Import,Fuels,495.24,0.04,0,0,1,0,100,0,0,0,0,0,450.35,44.89,0,0,1,0,100,0,0,0,0,0,450.35,44.89
Australia,Mexico,2022,Import,Fuels,424.7,0.01,0,0,2,0,100,0,0,0,0,0,423.56,1.15,0,0,2,0,100,0,0,0,0,0,423.56,1.15
Australia,Austria,2022,Import,Fuels,340.75,0.02,5,5,1,100,0,0,0,5,5,0,340.75,0,5,5,1,100,0,0,0,5,5,0,340.75,0
Australia,Greece,2022,Import,Fuels,339.72,0.11,0,0,1,0,100,0,0,0,0,0,317.2,22.52,0,0,1,0,100,0,0,0,0,0,317.2,22.52
Australia,Turkey,2022,Import,Fuels,290.58,0.03,0,0,3,0,100,0,0,0,0,0,147.12,143.47,0,0,3,0,100,0,0,0,0,0,147.12,143.47
Australia,Brazil,2022,Import,Fuels,183.91,0.02,0,0,2,0,100,0,0,0,0,0,48.89,135.03,0,0,2,0,100,0,0,0,0,0,48.89,135.03
