Products,year,value
334 Refined petroleum,2006,8645698
781 Passenger motor vehicles,2006,12572452
782 Goods vehicles,2006,4637804
764 Telecom equipment & parts,2006,5914655
752 Computers,2006,5846984
542 Medicaments (incl veterinary),2006,6063746
971 Gold,2006,5789122
723 Civil engineering equipment & parts,2006,2847425
333 Crude petroleum,2006,13270661
541 Pharm products (excl medicaments),2006,1217447
"778 Electrical machinery & parts, nes",2006,2107226
"821 Furniture, mattresses & cushions",2006,2248249
744 Mechanical handling equip & parts,2006,1681145
"893 Plastic articles, nes",2006,1646756
874 Measuring & analysing instruments,2006,2365577
334 Refined petroleum,2007,8251769
781 Passenger motor vehicles,2007,13849584
782 Goods vehicles,2007,5721886
764 Telecom equipment & parts,2007,6837165
752 Computers,2007,5732547
542 Medicaments (incl veterinary),2007,6438884
971 Gold,2007,6127650
723 Civil engineering equipment & parts,2007,3450951
333 Crude petroleum,2007,14692376
541 Pharm products (excl medicaments),2007,1552938
"778 Electrical machinery & parts, nes",2007,2276187
"821 Furniture, mattresses & cushions",2007,2434508
744 Mechanical handling equip & parts,2007,1824937
"893 Plastic articles, nes",2007,1776351
874 Measuring & analysing instruments,2007,2520304
334 Refined petroleum,2008,15043216
781 Passenger motor vehicles,2008,14749945
782 Goods vehicles,2008,6587166
764 Telecom equipment & parts,2008,6904951
752 Computers,2008,5817407
542 Medicaments (incl veterinary),2008,6800339
971 Gold,2008,9732050
723 Civil engineering equipment & parts,2008,4164773
333 Crude petroleum,2008,17862463
541 Pharm products (excl medicaments),2008,1540117
"778 Electrical machinery & parts, nes",2008,2470877
"821 Furniture, mattresses & cushions",2008,2802180
744 Mechanical handling equip & parts,2008,2160199
"893 Plastic articles, nes",2008,1992888
874 Measuring & analysing instruments,2008,2891589
334 Refined petroleum,2009,10276917
781 Passenger motor vehicles,2009,11677728
782 Goods vehicles,2009,4367057
764 Telecom equipment & parts,2009,7243425
752 Computers,2009,5589273
542 Medicaments (incl veterinary),2009,7648744
971 Gold,2009,9197317
723 Civil engineering equipment & parts,2009,2571461
333 Crude petroleum,2009,12318198
541 Pharm products (excl medicaments),2009,1721336
"778 Electrical machinery & parts, nes",2009,2275174
"821 Furniture, mattresses & cushions",2009,2632423
744 Mechanical handling equip & parts,2009,1689140
"893 Plastic articles, nes",2009,1929986
874 Measuring & analysing instruments,2009,2649019
334 Refined petroleum,2010,9968175
781 Passenger motor vehicles,2010,15917096
782 Goods vehicles,2010,6019440
764 Telecom equipment & parts,2010,7535460
752 Computers,2010,6525923
542 Medicaments (incl veterinary),2010,7895862
971 Gold,2010,7046866
723 Civil engineering equipment & parts,2010,3049053
333 Crude petroleum,2010,16216758
541 Pharm products (excl medicaments),2010,1727835
"778 Electrical machinery & parts, nes",2010,2448324
"821 Furniture, mattresses & cushions",2010,2628832
744 Mechanical handling equip & parts,2010,1663136
"893 Plastic articles, nes",2010,1973495
874 Measuring & analysing instruments,2010,2616316
334 Refined petroleum,2011,14305507
781 Passenger motor vehicles,2011,14158631
782 Goods vehicles,2011,6152896
764 Telecom equipment & parts,2011,8324551
752 Computers,2011,6634219
542 Medicaments (incl veterinary),2011,8529758
971 Gold,2011,6396421
723 Civil engineering equipment & parts,2011,4263579
333 Crude petroleum,2011,20826624
541 Pharm products (excl medicaments),2011,2039037
"778 Electrical machinery & parts, nes",2011,2510224
"821 Furniture, mattresses & cushions",2011,2780203
744 Mechanical handling equip & parts,2011,1986725
"893 Plastic articles, nes",2011,2041899
874 Measuring & analysing instruments,2011,2635090
334 Refined petroleum,2012,15870892
781 Passenger motor vehicles,2012,16919250
782 Goods vehicles,2012,8561609
764 Telecom equipment & parts,2012,8750307
752 Computers,2012,6776684
542 Medicaments (incl veterinary),2012,8178240
971 Gold,2012,5840831
723 Civil engineering equipment & parts,2012,6821861
333 Crude petroleum,2012,21566816
541 Pharm products (excl medicaments),2012,2231805
"778 Electrical machinery & parts, nes",2012,2609761
"821 Furniture, mattresses & cushions",2012,2904964
744 Mechanical handling equip & parts,2012,2541282
"893 Plastic articles, nes",2012,2151281
874 Measuring & analysing instruments,2012,2949492
334 Refined petroleum,2013,18229118
781 Passenger motor vehicles,2013,18290457
782 Goods vehicles,2013,6436415
764 Telecom equipment & parts,2013,9074792
752 Computers,2013,6942468
542 Medicaments (incl veterinary),2013,7793068
971 Gold,2013,4795561
723 Civil engineering equipment & parts,2013,3464261
333 Crude petroleum,2013,20227124
541 Pharm products (excl medicaments),2013,2429295
"778 Electrical machinery & parts, nes",2013,2725247
"821 Furniture, mattresses & cushions",2013,3176452
744 Mechanical handling equip & parts,2013,2579442
"893 Plastic articles, nes",2013,2381284
874 Measuring & analysing instruments,2013,2773275
334 Refined petroleum,2014,18578937
781 Passenger motor vehicles,2014,17565672
782 Goods vehicles,2014,6007674
764 Telecom equipment & parts,2014,9845428
752 Computers,2014,7316155
542 Medicaments (incl veterinary),2014,7496671
971 Gold,2014,4004923
723 Civil engineering equipment & parts,2014,2605057
333 Crude petroleum,2014,20049517
541 Pharm products (excl medicaments),2014,2425764
"778 Electrical machinery & parts, nes",2014,2959195
"821 Furniture, mattresses & cushions",2014,3624397
744 Mechanical handling equip & parts,2014,2641829
"893 Plastic articles, nes",2014,2721121
874 Measuring & analysing instruments,2014,3207490
334 Refined petroleum,2015,18437314
781 Passenger motor vehicles,2015,20365443
782 Goods vehicles,2015,6734062
764 Telecom equipment & parts,2015,11675073
752 Computers,2015,8471021
542 Medicaments (incl veterinary),2015,7287402
971 Gold,2015,4456324
723 Civil engineering equipment & parts,2015,3807235
333 Crude petroleum,2015,9381229
541 Pharm products (excl medicaments),2015,3049150
"778 Electrical machinery & parts, nes",2015,3343811
"821 Furniture, mattresses & cushions",2015,4336618
744 Mechanical handling equip & parts,2015,2495518
"893 Plastic articles, nes",2015,3209382
874 Measuring & analysing instruments,2015,3295650
334 Refined petroleum,2016,14861215
781 Passenger motor vehicles,2016,21402774
782 Goods vehicles,2016,7535478
764 Telecom equipment & parts,2016,11970021
752 Computers,2016,7348677
542 Medicaments (incl veterinary),2016,7617174
971 Gold,2016,7467941
723 Civil engineering equipment & parts,2016,2571522
333 Crude petroleum,2016,7965100
541 Pharm products (excl medicaments),2016,3608696
"778 Electrical machinery & parts, nes",2016,3314893
"821 Furniture, mattresses & cushions",2016,4274319
744 Mechanical handling equip & parts,2016,2411182
"893 Plastic articles, nes",2016,3225730
874 Measuring & analysing instruments,2016,3184910
334 Refined petroleum,2017,19161805
781 Passenger motor vehicles,2017,22810401
782 Goods vehicles,2017,8814349
764 Telecom equipment & parts,2017,12784034
752 Computers,2017,8244617
542 Medicaments (incl veterinary),2017,7112408
971 Gold,2017,6220308
723 Civil engineering equipment & parts,2017,3340130
333 Crude petroleum,2017,9493489
541 Pharm products (excl medicaments),2017,4024984
"778 Electrical machinery & parts, nes",2017,3577040
"821 Furniture, mattresses & cushions",2017,4257621
744 Mechanical handling equip & parts,2017,2456497
"893 Plastic articles, nes",2017,3397117
874 Measuring & analysing instruments,2017,3023128
334 Refined petroleum,2018,25161408
781 Passenger motor vehicles,2018,22410063
782 Goods vehicles,2018,10683553
764 Telecom equipment & parts,2018,14400995
752 Computers,2018,9685989
542 Medicaments (incl veterinary),2018,7202661
971 Gold,2018,6384575
723 Civil engineering equipment & parts,2018,4812107
333 Crude petroleum,2018,13741951
541 Pharm products (excl medicaments),2018,4580243
"778 Electrical machinery & parts, nes",2018,3818430
"821 Furniture, mattresses & cushions",2018,4873948
744 Mechanical handling equip & parts,2018,2921079
"893 Plastic articles, nes",2018,3805616
874 Measuring & analysing instruments,2018,3405856
334 Refined petroleum,2019,25125206
781 Passenger motor vehicles,2019,21403705
782 Goods vehicles,2019,9808963
764 Telecom equipment & parts,2019,14893993
752 Computers,2019,9682865
542 Medicaments (incl veterinary),2019,7719396
971 Gold,2019,6770926
723 Civil engineering equipment & parts,2019,4953576
333 Crude petroleum,2019,12290303
541 Pharm products (excl medicaments),2019,5391256
"778 Electrical machinery & parts, nes",2019,4058439
"821 Furniture, mattresses & cushions",2019,4984181
744 Mechanical handling equip & parts,2019,3020735
"893 Plastic articles, nes",2019,3895955
874 Measuring & analysing instruments,2019,3691035
334 Refined petroleum,2020,15857100
781 Passenger motor vehicles,2020,18690069
782 Goods vehicles,2020,8985117
764 Telecom equipment & parts,2020,14782726
752 Computers,2020,10440631
542 Medicaments (incl veterinary),2020,8240395
971 Gold,2020,9206771
723 Civil engineering equipment & parts,2020,4733793
333 Crude petroleum,2020,6048895
541 Pharm products (excl medicaments),2020,5562073
"778 Electrical machinery & parts, nes",2020,4089238
"821 Furniture, mattresses & cushions",2020,5224253
744 Mechanical handling equip & parts,2020,2834069
"893 Plastic articles, nes",2020,4323934
874 Measuring & analysing instruments,2020,3498499
334 Refined petroleum,2021,25694081
781 Passenger motor vehicles,2021,23354562
782 Goods vehicles,2021,12226928
764 Telecom equipment & parts,2021,14538415
752 Computers,2021,10910886
542 Medicaments (incl veterinary),2021,7550072
971 Gold,2021,6524143
