Row Labels,year,value
281 Iron ore & concentrates,2006,"14,365,713"
321 Coal,2006,"23,275,568"
343 Natural gas,2006,"5,108,992"
971 Gold,2006,"9,154,259"
"278 Crude minerals, nes",2006,"406,504"
041 Wheat,2006,"3,362,458"
333 Crude petroleum,2006,"6,674,086"
"011 Beef, f.c.f.",2006,"4,855,678"
285 Aluminium ores & conc (incl alumina),2006,"6,127,368"
988 Confidential items of trade,2006,"5,466,234"
283 Copper ores & concentrates,2006,"4,095,733"
"012 Meat (excl beef), f.c.f.",2006,"2,112,152"
"222 Oil-seeds & oleaginous fruits, soft",2006,"348,764"
684 Aluminium,2006,"5,939,655"
682 Copper,2006,"3,044,770"
281 Iron ore & concentrates,2007,"16,257,705"
321 Coal,2007,"20,760,029"
343 Natural gas,2007,"5,079,015"
971 Gold,2007,"11,360,776"
"278 Crude minerals, nes",2007,"393,355"
041 Wheat,2007,"1,961,377"
333 Crude petroleum,2007,"7,984,102"
"011 Beef, f.c.f.",2007,"4,488,276"
285 Aluminium ores & conc (incl alumina),2007,"6,074,036"
988 Confidential items of trade,2007,"7,163,140"
283 Copper ores & concentrates,2007,"3,846,075"
"012 Meat (excl beef), f.c.f.",2007,"2,028,328"
"222 Oil-seeds & oleaginous fruits, soft",2007,"135,230"
684 Aluminium,2007,"5,883,301"
682 Copper,2007,"3,201,735"
281 Iron ore & concentrates,2008,"30,142,627"
321 Coal,2008,"46,620,366"
343 Natural gas,2008,"9,243,307"
971 Gold,2008,"14,300,074"
"278 Crude minerals, nes",2008,"229,376"
041 Wheat,2008,"3,791,780"
333 Crude petroleum,2008,"10,343,512"
"011 Beef, f.c.f.",2008,"4,967,919"
285 Aluminium ores & conc (incl alumina),2008,"6,478,591"
988 Confidential items of trade,2008,"5,110,643"
283 Copper ores & concentrates,2008,"4,023,802"
"012 Meat (excl beef), f.c.f.",2008,"2,134,583"
"222 Oil-seeds & oleaginous fruits, soft",2008,"375,683"
684 Aluminium,2008,"5,777,017"
682 Copper,2008,"3,412,068"
281 Iron ore & concentrates,2009,"30,048,950"
321 Coal,2009,"39,438,995"
343 Natural gas,2009,"7,627,434"
971 Gold,2009,"15,050,423"
"278 Crude minerals, nes",2009,"154,575"
041 Wheat,2009,"4,755,772"
333 Crude petroleum,2009,"7,174,678"
"011 Beef, f.c.f.",2009,"4,307,131"
285 Aluminium ores & conc (incl alumina),2009,"4,797,568"
988 Confidential items of trade,2009,"4,587,290"
283 Copper ores & concentrates,2009,"3,791,667"
"012 Meat (excl beef), f.c.f.",2009,"2,240,167"
"222 Oil-seeds & oleaginous fruits, soft",2009,"748,727"
684 Aluminium,2009,"4,079,362"
682 Copper,2009,"2,501,262"
281 Iron ore & concentrates,2010,"49,379,806"
321 Coal,2010,"42,966,867"
343 Natural gas,2010,"9,425,149"
971 Gold,2010,"14,438,062"
"278 Crude minerals, nes",2010,"219,794"
041 Wheat,2010,"4,178,019"
333 Crude petroleum,2010,"10,501,603"
"011 Beef, f.c.f.",2010,"4,369,827"
285 Aluminium ores & conc (incl alumina),2010,"5,292,981"
988 Confidential items of trade,2010,"5,519,653"
283 Copper ores & concentrates,2010,"5,034,667"
"012 Meat (excl beef), f.c.f.",2010,"2,257,987"
"222 Oil-seeds & oleaginous fruits, soft",2010,"569,355"
684 Aluminium,2010,"4,409,260"
682 Copper,2010,"3,159,680"
281 Iron ore & concentrates,2011,"64,097,413"
321 Coal,2011,"46,691,029"
343 Natural gas,2011,"11,083,526"
971 Gold,2011,"15,076,959"
"278 Crude minerals, nes",2011,"271,236"
