Year,State,value
2018,New South Wales ($m),21795
2019,New South Wales ($m),23215
2020,New South Wales ($m),13421
2021,New South Wales ($m),8036
2022,New South Wales ($m),12566
2023,New South Wales ($m),25637
2018,Victoria ($m),17901
2019,Victoria ($m),19926
2020,Victoria ($m),11929
2021,Victoria ($m),7037
2022,Victoria ($m),10496
2023,Victoria ($m),19051
2018,Queensland ($m),10513
2019,Queensland ($m),11251
2020,Queensland ($m),5759
2021,Queensland ($m),3366
2022,Queensland ($m),5707
2023,Queensland ($m),11662
2018,South Australia ($m),2635
2019,South Australia ($m),3075
2020,South Australia ($m),2115
2021,South Australia ($m),1615
2022,South Australia ($m),2207
2023,South Australia ($m),4540
2018,Western Australia ($m),4489
2019,Western Australia ($m),4782
2020,Western Australia ($m),2520
2021,Western Australia ($m),1341
2022,Western Australia ($m),2799
2023,Western Australia ($m),5898
2018,Tasmania ($m),1016
2019,Tasmania ($m),1172
2020,Tasmania ($m),696
2021,Tasmania ($m),445
2022,Tasmania ($m),521
2023,Tasmania ($m),891
2018,Northern Territory ($m),541
2019,Northern Territory ($m),541
2020,Northern Territory ($m),254
2021,Northern Territory ($m),171
2022,Northern Territory ($m),353
2023,Northern Territory ($m),610
2018,Australian Capital Territory ($m),1389
2019,Australian Capital Territory ($m),1522
2020,Australian Capital Territory ($m),825
2021,Australian Capital Territory ($m),605
2022,Australian Capital Territory ($m),884
2023,Australian Capital Territory ($m),1815
